Source,Destination,Relation
218,1888,1
789,1880,1
1359,1885,1
6276,1355,7
4049,1130,4
5219,1001,4
1838,2001,1
5762,1444,4
2737,2737,8
1266,2250,2
1176,1176,8
3608,1045,4
1905,1487,5
4039,258,4
6272,1711,7
3534,3534,8
858,4703,0
1199,3534,0
1911,266,5
911,1886,1
2739,1680,6
781,1874,1
3758,3758,8
1088,4657,0
1698,6281,3
1762,6148,0
1821,2438,2
4720,645,4
4555,4555,8
3081,3081,8
2119,1503,5
6610,693,7
1257,6330,3
6368,901,7
6358,6358,8
3045,1177,6
4884,4884,8
46,46,8
357,357,8
804,2229,2
1019,1894,1
1811,6293,3
6687,6687,8
1170,5428,0
2017,620,5
6277,62,7
4611,1030,4
5905,5905,8
4043,259,4
3154,1381,6
4431,4431,8
4610,572,4
3576,1754,4
2006,1423,5
6234,6234,8
1002,1894,1
5958,1586,4
5228,5228,8
533,1894,1
701,701,8
735,4176,0
6386,133,7
2504,2504,8
1554,6312,3
1871,1388,5
1030,1030,8
4307,4307,8
6816,1520,7
1570,3266,2
1231,3010,2
1050,5275,0
1874,738,5
6349,95,7
1876,1709,5
1878,284,5
374,4264,0
3352,663,4
1896,1484,5
2051,2051,8
1594,5968,0
2481,1119,6
1102,1866,1
1877,484,5
3854,3854,8
1871,1814,5
1877,222,5
1875,1488,5
1425,6661,3
1875,568,5
2679,796,6
2848,2848,8
1445,6302,3
6212,6212,8
511,1866,1
761,6334,3
4366,662,4
3177,3177,8
3488,3488,8
1506,3767,0
1878,314,5
1832,6250,0
1308,1871,1
6047,1678,4
1877,648,5
1877,252,5
1875,732,5
584,4630,0
880,1880,1
6335,1607,7
1147,5403,0
1488,5838,0
74,1911,1
33,3493,0
6693,993,7
1878,478,5
3832,3832,8
1866,896,5
4218,1776,4
1877,282,5
5635,5635,8
4022,675,4
1877,416,5
1554,6274,3
797,797,8
4161,4161,8
5496,1229,4
399,6517,3
445,4392,0
4929,783,4
4475,500,4
3770,139,4
4853,4853,8
1427,6404,3
3379,3379,8
431,431,8
2221,479,6
3543,199,4
5929,1570,4
5182,5182,8
180,2306,2
1877,708,5
672,4764,0
3230,1499,6
2147,2147,8
6686,975,7
620,1868,1
6356,188,7
837,6654,3
1970,810,5
1144,3718,0
1185,1874,1
2791,806,6
6308,6308,8
3636,617,4
1781,1781,8
787,3766,0
1194,1868,1
6265,1849,4
1029,3430,0
1059,6438,3
3641,937,4
6338,1547,7
3584,3584,8
949,6282,3
6871,1800,7
1506,1905,1
918,3474,0
1299,1868,1
1953,548,5
2802,2802,8
1328,1328,8
1399,6524,3
714,6621,3
1177,1868,1
5551,1262,4
1518,2344,2
6321,1151,7
708,1868,1
266,6459,3
139,6273,3
4765,672,4
3928,3928,8
1041,6510,3
1618,1983,1
597,6283,3
1633,6602,3
2051,1548,5
1854,1923,1
1918,1797,5
19,1871,1
1204,1204,8
2455,751,6
6510,6510,8
708,2597,2
1946,1054,5
4089,636,4
4949,4949,8
3475,3475,8
527,527,8
5236,1015,4
717,2725,2
5278,5278,8
1930,1671,5
2309,935,6
796,1868,1
3109,3109,8
4912,4912,8
74,74,8
1936,1424,5
1165,1956,1
1370,1868,1
1877,1877,8
1525,5868,0
6287,1863,7
818,6303,3
6303,857,7
1835,3419,2
4130,4130,8
5933,5933,8
4964,1713,4
682,1934,1
4459,4459,8
1914,446,5
6262,6262,8
6526,1549,7
304,4131,0
729,729,8
1153,1880,1
787,1934,1
479,6473,3
2532,2532,8
1058,1058,8
1591,6334,3
3717,1713,4
341,6297,3
6508,379,7
4803,4803,8
334,1877,1
6606,6606,8
575,6321,3
904,1882,1
2079,2079,8
458,6403,3
3882,3882,8
6109,1736,4
1006,1874,1
4067,277,4
1475,1875,1
6240,6240,8
2825,858,6
2842,888,6
1797,6869,3
6736,1129,7
691,2559,2
3205,3205,8
4285,387,4
317,1877,1
1907,1774,5
355,2444,2
5008,5008,8
4159,317,4
481,481,8
6739,1137,7
1905,542,5
730,4850,0
4974,810,4
1878,1376,5
644,1894,1
678,2525,2
1215,1886,1
4226,4226,8
2598,551,6
665,1866,1
6101,1730,4
891,1878,1
4611,1396,4
6029,6029,8
1892,1690,5
102,2242,2
1693,2318,2
5064,1483,4
453,6277,3
1051,5277,0
1563,1875,1
1909,251,5
1878,1802,5
1507,5505,0
1878,1144,5
825,825,8
943,4670,0
1877,1344,5
2011,768,5
1154,1154,8
1741,4475,0
1668,1875,1
1886,1734,5
6494,452,7
1987,1214,5
1546,1875,1
525,6571,3
1909,147,5
5210,5210,8
2008,1448,5
1846,1846,8
372,372,8
1895,1862,5
979,1878,1
2175,2175,8
5539,5539,8
1866,1464,5
1877,1770,5
887,1868,1
3978,3978,8
1877,1112,5
6470,1161,7
1877,1508,5
1344,1896,1
1497,5059,0
1373,5563,0
1983,1698,5
6336,6336,8
6376,314,7
506,1912,1
2597,549,6
2359,1526,7
1809,1809,8
6380,122,7
1519,5409,0
1874,1530,5
2233,757,6
861,1874,1
1878,1600,5
1151,5413,0
1097,1942,1
1027,1027,8
1866,1494,5
1877,1800,5
6498,344,7
1137,5391,0
1877,1276,5
3659,93,4
2830,2830,8
931,5154,0
1983,1862,5
5062,870,4
1791,3384,2
266,4053,0
3159,3159,8
1888,503,5
1264,5553,0
3993,1138,4
6472,350,7
3956,3956,8
1826,3553,0
304,2400,2
471,3411,0
1705,6064,0
1327,1926,1
2079,1448,5
6473,308,7
1655,1877,1
1427,1868,1
1700,1700,8
2353,243,6
4142,309,4
2216,921,6
3503,3503,8
983,2213,2
5306,5306,8
779,779,8
910,5114,0
3907,199,4
188,6356,3
6810,1495,7
1257,4194,0
3630,151,4
1576,1576,8
1793,6192,0
102,102,8
220,3947,0
4789,690,4
1905,1905,8
169,1959,1
960,6557,3
1080,1874,1
5339,1107,4
5911,1558,4
17,3456,0
5961,5961,8
4554,976,4
1123,1123,8
952,6393,3
1638,1907,1
1654,1874,1
1399,1988,1
1867,627,5
2926,2926,8
6290,6290,8
1452,1452,8
1286,1878,1
757,757,8
508,1983,1
42,6308,3
2249,2249,8
967,2889,2
1940,1666,5
1627,6398,3
1957,1434,5
1021,4186,0
1637,1874,1
45,6316,3
329,4181,0
3986,235,4
374,1877,1
505,1871,1
1545,2435,2
576,3635,0
6634,6634,8
44,2186,2
2107,2107,8
1343,5649,0
948,1877,1
155,1868,1
1617,1867,1
2069,1116,5
6321,206,7
4094,505,4
5776,1449,4
1151,1874,1
6310,1270,7
3233,3233,8
6413,1849,7
1223,4808,0
5099,900,4
1934,819,5
1159,3035,2
1728,6334,3
6776,1293,7
4254,4254,8
2780,2780,8
6057,6057,8
4583,4583,8
3741,128,4
358,1895,1
1079,5305,0
6386,1793,7
4637,588,4
567,1877,1
189,3887,0
646,3519,0
853,853,8
6301,1074,7
2019,1732,5
3965,225,4
467,1965,1
1926,948,5
1242,1882,1
1797,1907,1
1930,1018,5
6277,1782,7
1813,1874,1
6860,1747,7
3202,1446,6
1546,4237,0
1874,1874,8
282,3781,0
400,400,8
1013,1892,1
1453,4030,0
786,2779,2
6280,1528,7
1776,3795,0
1925,69,5
1554,4168,0
2203,2203,8
3492,1105,4
3937,1289,4
6394,548,7
1472,1866,1
