movieId,movieName,nbMentions,name,year
75796,Headhunter  (2009),1,Headhunter,2009
75815,Angels in the Outfield  (1994),6,Angels in the Outfield,1994
75822,Eddie and the Cruisers (1983),1,Eddie and the Cruisers,1983
75828,Ninja Assassin (2009),5,Ninja Assassin,2009
75867,Orgazmo (1997),3,Orgazmo,1997
75881,Toy Story 2 (1999),26,Toy Story 2,1999
75903,A Star Is Born  (1954),2,A Star Is Born,1954
75918,Pretty in Pink (1986),54,Pretty in Pink,1986
75962,Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn,1,Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn,0
75968,An American Werewolf in Paris (1997),3,An American Werewolf in Paris,1997
75981,The Golden Temple  (2012),1,The Golden Temple,2012
75984,Fool's Gold  (2008),9,Fool's Gold,2008
76012,The Exorcist  (1973),174,The Exorcist,1973
76019,The War Bride (2001),4,The War Bride,2001
76023,Flick  (2008),1,Flick,2008
76036,National Security  (2012),1,National Security,2012
76042,The Vow  (2012),28,The Vow,2012
76067,Winter's Bone (2010),3,Winter's Bone,2010
76069,Love Station (2016),1,Love Station,2016
76071,Fight Club – Members Only (2006),1,Fight Club – Members Only,2006
76102,IMurders (2008),1,IMurders,2008
76111,Pocahontas II: Journey to a New World (1998),1,Pocahontas II: Journey to a New World,1998
76113,Just One of the Guys (1985),1,Just One of the Guys,1985
76130,Prince  (1969),1,Prince,1969
76137,Love Liza (2002),1,Love Liza,2002
76143,Anomalisa (2015),2,Anomalisa,2015
76145,The Great Gatsby  (1926),1,The Great Gatsby,1926
76160,Million Dollar Baby (2004),30,Million Dollar Baby,2004
76170,Insidious: Chapter 3 (2015),2,Insidious: Chapter 3,2015
76171,The Mummy ,1,The Mummy,0
76177,Ride Along 2 (2016),10,Ride Along 2,2016
76187,The Hills Have Eyes  (2006),10,The Hills Have Eyes,2006
76195,Dirty Work  (1998),1,Dirty Work,1998
76198,North Dallas Forty (1979),2,North Dallas Forty,1979
76279,Death at a Funeral  (2007),4,Death at a Funeral,2007
76284,The Cowboys (1972),2,The Cowboys,1972
76325,My Scientology Movie (2015),1,My Scientology Movie,2015
76336,Blackhat  (2015),2,Blackhat,2015
76339,Hereafter  (2010),2,Hereafter,2010
76356,The Parent Trap  (1998),25,The Parent Trap,1998
76365,Anna and the King (1999),2,Anna and the King,1999
76391,Beware! The Blob (1972),1,Beware! The Blob,1972
76481,The Exorcist ,10,The Exorcist,0
76483,Brave  (2012),32,Brave,2012
76488,The Royal Scandal,1,The Royal Scandal,0
76508,Chloe  (2009),1,Chloe,2009
76512,Mississippi Damned (2009),1,Mississippi Damned,2009
76519,Cloverfield (2008),32,Cloverfield,2008
76524,Okja,8,Okja,0
76530,Killers  (2010),6,Killers,2010
